Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;22;TOR;73;28;23.6;3.6;8.3;0.439;0.8;2.1;0.359;2.9;6.1;0.468;0.486;1.1;1.8;0.595;2;4.5;6.5;1.1;0.5;0.6;1.2;2.1;9.1
2;Steven Adams;C;28;MEM;76;75;26.3;2.8;5.1;0.547;0;0;0;2.8;5;0.548;0.547;1.4;2.6;0.543;4.6;5.4;10;3.4;0.9;0.8;1.5;2;6.9
3;Bam Adebayo;C;24;MIA;56;56;32.6;7.3;13;0.557;0;0.1;0;7.3;12.9;0.562;0.557;4.6;6.1;0.753;2.4;7.6;10.1;3.4;1.4;0.8;2.6;3.1;19.1
4;Santi Aldama;PF;21;MEM;32;0;11.3;1.7;4.1;0.402;0.2;1.5;0.125;1.5;2.6;0.56;0.424;0.6;1;0.625;1;1.7;2.7;0.7;0.2;0.3;0.5;1.1;4.1
5;LaMarcus Aldridge;C;36;BRK;47;12;22.3;5.4;9.7;0.55;0.3;1;0.304;5.1;8.8;0.578;0.566;1.9;2.2;0.873;1.6;3.9;5.5;0.9;0.3;1;0.9;1.7;12.9
6;Nickeil Alexander-Walker;SG;23;TOT;65;21;22.6;3.9;10.5;0.372;1.6;5.2;0.311;2.3;5.3;0.433;0.449;1.2;1.7;0.743;0.6;2.3;2.9;2.4;0.7;0.4;1.4;1.6;10.6
6;Nickeil Alexander-Walker;SG;23;NOP;50;19;26.3;4.7;12.6;0.375;1.9;6.1;0.311;2.8;6.5;0.434;0.45;1.4;1.9;0.722;0.7;2.6;3.3;2.8;0.8;0.4;1.7;1.8;12.8
6;Nickeil Alexander-Walker;SG;23;UTA;15;2;9.9;1.1;3.2;0.333;0.7;2.2;0.303;0.4;1;0.4;0.438;0.7;0.8;0.917;0.1;1.5;1.5;1.1;0.3;0.3;0.5;1;3.5
7;Grayson Allen;SG;26;MIL;66;61;27.3;3.9;8.6;0.448;2.4;5.9;0.409;1.5;2.7;0.533;0.588;1;1.1;0.865;0.5;2.9;3.4;1.5;0.7;0.3;0.7;1.5;11.1
8;Jarrett Allen;C;23;CLE;56;56;32.3;6.6;9.7;0.677;0;0.2;0.1;6.6;9.6;0.688;0.678;2.9;4.2;0.708;3.4;7.3;10.8;1.6;0.8;1.3;1.7;1.7;16.1
9;Jose Alvarado;PG;23;NOP;54;1;15.4;2.4;5.4;0.446;0.6;2;0.291;1.8;3.4;0.538;0.5;0.7;1;0.679;0.5;1.4;1.9;2.8;1.3;0.1;0.7;1.4;6.1
10;Justin Anderson;SF;28;TOT;16;6;19.8;2.3;5.9;0.379;0.9;3.7;0.254;1.3;2.3;0.583;0.458;0.9;1.2;0.789;0.3;2.6;2.9;2.1;0.5;0.4;0.5;1.4;6.4
10;Justin Anderson;SF;28;CLE;3;0;15.7;1.3;2.7;0.5;0.7;2;0.333;0.7;0.7;1;0.625;1;1.3;0.75;0;2;2;2;0.3;0;0.7;1.3;4.3
10;Justin Anderson;SF;28;IND;13;6;20.7;2.5;6.7;0.368;1;4.1;0.245;1.5;2.6;0.559;0.443;0.9;1.2;0.8;0.3;2.8;3.1;2.1;0.5;0.5;0.5;1.4;6.8
11;Kyle Anderson;PF;28;MEM;69;11;21.5;3;6.8;0.446;0.5;1.6;0.33;2.5;5.2;0.481;0.484;1;1.5;0.638;1;4.3;5.3;2.7;1.1;0.7;1;1.6;7.6
12;Giannis Antetokounmpo;PF;27;MIL;67;67;32.9;10.3;18.6;0.553;1.1;3.6;0.293;9.2;15;0.616;0.582;8.3;11.4;0.722;2;9.6;11.6;5.8;1.1;1.4;3.3;3.2;29.9
13;Thanasis Antetokounmpo;SF;29;MIL;48;6;9.9;1.5;2.7;0.547;0;0.3;0.143;1.4;2.4;0.596;0.555;0.6;1;0.63;0.8;1.3;2.1;0.5;0.3;0.3;0.5;1.4;3.6
14;Carmelo Anthony;PF;37;LAL;69;3;26;4.6;10.5;0.441;2.2;5.8;0.375;2.5;4.7;0.521;0.544;1.9;2.3;0.83;0.9;3.3;4.2;1;0.7;0.8;0.9;2.4;13.3
15;Cole Anthony;PG;21;ORL;65;65;31.7;5.5;14;0.391;2;6;0.338;3.5;8;0.432;0.464;3.3;3.9;0.854;0.5;4.9;5.4;5.7;0.7;0.3;2.6;2.6;16.3
16;OG Anunoby;SF;24;TOR;48;48;36;6.4;14.5;0.443;2.4;6.6;0.363;4;7.9;0.511;0.526;1.9;2.5;0.754;1.5;4;5.5;2.6;1.5;0.5;1.7;2.7;17.1
17;Ryan Arcidiacono;PG;27;NYK;10;0;7.6;0.6;1.2;0.5;0.4;0.9;0.444;0.2;0.3;0.667;0.667;0;0;0;0;0.8;0.8;0.4;0.1;0;0.3;0.5;1.6
18;Trevor Ariza;SF;36;LAL;24;11;19.3;1.4;4.1;0.333;0.8;3.1;0.27;0.5;1;0.52;0.434;0.4;0.8;0.556;0.4;3;3.4;1.1;0.5;0.3;0.5;0.8;4
19;D.J. Augustin;PG;34;TOT;55;2;16.1;1.7;4;0.423;1.2;3;0.415;0.5;1.1;0.448;0.577;0.7;0.8;0.884;0.2;1;1.2;1.9;0.3;0;1;0.7;5.3
19;D.J. Augustin;PG;34;HOU;34;2;15;1.6;4;0.404;1.1;2.8;0.406;0.5;1.2;0.4;0.548;1;1.1;0.868;0.2;1;1.2;2.2;0.3;0;1.3;0.5;5.4
19;D.J. Augustin;PG;34;LAL;21;0;17.8;1.9;4.1;0.453;1.4;3.2;0.426;0.5;0.9;0.556;0.622;0.2;0.2;1;0.2;1.1;1.3;1.6;0.3;0;0.5;1;5.3
20;Deni Avdija;SF;21;WAS;82;8;24.2;3;7.1;0.432;1;3.2;0.317;2;3.9;0.525;0.503;1.3;1.7;0.757;0.6;4.5;5.2;2;0.7;0.5;1.1;2.3;8.4
21;Joel Ayayi;SG;21;WAS;7;0;2.9;0.1;0.9;0.167;0;0.1;0;0.1;0.7;0.2;0.167;0;0;0;0.1;0.3;0.4;0.6;0;0;0;0;0.3
22;Deandre Ayton;C;23;PHO;58;58;29.5;7.6;12;0.634;0.1;0.3;0.368;7.5;11.7;0.642;0.639;1.8;2.4;0.746;2.6;7.7;10.2;1.4;0.7;0.7;1.6;2.4;17.2
23;Udoka Azubuike;C;22;UTA;17;6;11.5;2.2;2.9;0.755;0;0;0;2.2;2.9;0.755;0.755;0.4;0.6;0.545;1.1;3.1;4.2;0;0.1;0.6;0.7;1.5;4.7
24;Marvin Bagley III;PF;22;TOT;48;25;23.9;4.7;9.3;0.504;0.5;2;0.237;4.2;7.3;0.579;0.53;1.4;2.1;0.663;2.2;4.9;7;0.8;0.5;0.4;0.8;1.9;11.3
24;Marvin Bagley III;PF;22;SAC;30;17;21.9;3.8;8.2;0.463;0.5;2.1;0.242;3.3;6.1;0.538;0.494;1.2;1.6;0.745;2.2;4.9;7.2;0.6;0.3;0.4;0.7;1.7;9.3
24;Marvin Bagley III;PF;22;DET;18;8;27.2;6.2;11.1;0.555;0.4;1.9;0.229;5.7;9.2;0.624;0.575;1.8;3;0.593;2.1;4.7;6.8;1.1;0.7;0.4;1;2.4;14.6
25;LaMelo Ball;PG;20;CHO;75;75;32.3;7.2;16.7;0.429;2.9;7.5;0.389;4.2;9.2;0.462;0.517;2.8;3.2;0.872;1.4;5.2;6.7;7.6;1.6;0.4;3.3;3.2;20.1
26;Lonzo Ball;PG;24;CHI;35;35;34.6;4.6;10.9;0.423;3.1;7.4;0.423;1.5;3.5;0.423;0.567;0.6;0.8;0.75;1;4.4;5.4;5.1;1.8;0.9;2.3;2.4;13
27;Mo Bamba;C;23;ORL;71;69;25.7;4.2;8.7;0.48;1.5;4;0.381;2.7;4.7;0.563;0.566;0.8;1;0.781;2.1;6;8.1;1.2;0.5;1.7;1.1;2.6;10.6
28;Desmond Bane;SF;23;MEM;76;76;29.8;6.7;14.5;0.461;3;6.9;0.436;3.7;7.6;0.484;0.565;1.8;2;0.903;0.6;3.8;4.4;2.7;1.2;0.4;1.5;2.6;18.2
29;Dalano Banton;SF;22;TOR;64;1;10.9;1.3;3.2;0.411;0.2;0.8;0.255;1.1;2.4;0.464;0.443;0.4;0.7;0.591;0.6;1.3;1.9;1.5;0.4;0.2;0.8;1.1;3.2
30;Cat Barber;PG;27;ATL;3;0;4.3;0;1.3;0;0;0;0;0;1.3;0;0;0;1.3;0;0.3;0.7;1;1;0;0;0.3;0.3;0
31;Harrison Barnes;PF;29;SAC;77;77;33.6;5.1;10.8;0.469;1.8;4.7;0.394;3.2;6.2;0.525;0.554;4.4;5.4;0.826;1.1;4.5;5.6;2.4;0.7;0.2;1.5;1.2;16.4
32;Scottie Barnes;PF;20;TOR;74;74;35.4;6.2;12.6;0.492;0.8;2.6;0.301;5.4;10;0.543;0.524;2.1;2.9;0.735;2.6;4.9;7.5;3.5;1.1;0.7;1.8;2.6;15.3
33;RJ Barrett;SF;21;NYK;70;70;34.5;7;17.1;0.408;2;5.8;0.342;5;11.3;0.442;0.466;4.1;5.8;0.714;0.9;4.9;5.8;3;0.6;0.2;2.2;2;20
34;Will Barton;SG;31;DEN;71;71;32.1;5.5;12.6;0.438;2.2;6.1;0.365;3.3;6.6;0.504;0.525;1.4;1.8;0.803;0.6;4.2;4.8;3.9;0.8;0.4;1.8;1.6;14.7
35;Paris Bass;SF;26;PHO;2;0;3.5;1;3;0.333;0;1;0;1;2;0.5;0.333;1;1;1;1;1;2;0;0.5;0;1;1;3
36;Charles Bassey;PF;21;PHI;23;0;7.3;1.3;2;0.638;0;0.2;0;1.3;1.9;0.698;0.638;0.4;0.5;0.75;1;1.7;2.7;0.3;0.2;0.7;0.3;1.4;3
37;Keita Bates-Diop;SF;26;SAS;59;14;16.2;2.3;4.5;0.517;0.3;0.9;0.309;2;3.5;0.572;0.549;0.8;1;0.754;1.1;2.9;3.9;0.7;0.5;0.2;0.8;1;5.7
38;Nicolas Batum;PF;33;LAC;59;54;24.8;3;6.6;0.463;1.8;4.6;0.4;1.2;2;0.607;0.602;0.4;0.6;0.658;0.5;3.8;4.3;1.7;1;0.7;0.7;1.4;8.3
39;Kent Bazemore;SF;32;LAL;39;14;14;1.2;3.6;0.324;0.7;2.1;0.363;0.4;1.5;0.271;0.428;0.3;0.4;0.765;0.3;1.4;1.8;0.9;0.6;0.2;0.5;1.8;3.4
40;Darius Bazley;PF;21;OKC;69;53;27.9;4;9.4;0.422;1.2;3.9;0.297;2.8;5.5;0.511;0.484;1.7;2.5;0.688;1;5.3;6.3;1.4;0.8;1;1.3;1;10.8
41;Bradley Beal;SG;28;WAS;40;40;36;8.7;19.3;0.451;1.6;5.3;0.3;7.1;14;0.508;0.492;4.2;5.1;0.833;1;3.8;4.7;6.6;0.9;0.4;3.4;2.4;23.2
